ID;DESCR;NODEOUT;IMG;EXTDESCR;AREA;OUTLETEASTCOORD;OUTLETNORTHCOORD;AVGQUOTE
59;B59_INT_Isarco_a_monte_DigaFortezza;2018;;B59_INT_Fortezza_a_monte_DigaFortezza;152562500;;;1691.315035
60;B60_INT_Isarco_a_Bressanone;2019;;B60_INT_Isarco_a_Bressanone;220625000;;;1500.566572
61;B61_RioSolda_a_PonteStelvio;2061;;RioSolda_a_PonteStelvio;130500000;;;2497.509579
62;B62_INT_Adige_a_Oris;2062;;Interbaino Adige a Oris;55812500;;;1666.181411
63;B63_INT_Adige_a_monte_confl_RioLasa;2063;;Interbacino Adige a monte confl RioLasa;49375000;;;1702.78481
64;B64 Isarco alla Traversa di Colma;2090;;;246812500;;;1365.484933
65;B65 INT Isarco a Bolzano Nord;2091;;;233937500;;;1303.847181
66;B66_INT Isarco alla confluenza Adige;2092;;;22000000;;;792.0454545
67;B67 Fossa Grande di Bronzolo ad Ora;2093;;;105437500;;;878.8974511
68;B68 Rio Nero a Fontanefredde;2094;;;20312500;;;1588
69;B69 INT Rio Nero a Ora;2095;;;35000000;;;1135.357143
70;B70 Rio di Trodena a Egna;2096;;;22437500;;;1148.467967
71;B71_Bac fittizio S Floriano;2172;;Bacino fittizio;62500;;;1700
72;B72_Lago_Verde;2193;;;6312500;;;2923.762376
73;B73_Fontana_Bianca;2194;;;8250000;;;2416.666667
74;B74_Quaira_della_Miniera;2195;;;3250000;;;2646.153846
75;B75_new_Valsura_a_Zoccolo;2196;;;112312500;;;1943.850863
76;B76_Val_Crapa;2197;;;8437500;;;2294.074074
77;B77_Rio_Montechiesa;2198;;;8562500;;;2415.328467
78;B78_Lago_Pesce;2199;;;6687500;;;2572.897196
79;B79_Rio_Piles;2200;;;5250000;;;2635.714286
80;B80_Rio_Tovo;2201;;;5875000;;;2534.042553
81;B81_Rio_Vallaccia;2202;;;9437500;;;2525.165563
82;B82_Rio_Monego;2203;;;4750000;;;2494.736842
83;B83_Rio_Marano;2204;;;14375000;;;1657.391304
84;B84_Rio_Chiese;2205;;;16375000;;;1947.328244
85;B85_Rio_Fonderia;2206;;;1312500;;;2300
86;B86_new_Valsura_a_Lana;2207;;;39312500;;;1226.868045
87;B87_new_Valsura_ad_Alborelo;2208;;;32125000;;;1523.735409
;;;;;7101.0625;;;1823.568389
