"Date","Obs_2_1","Obs_2_2","Obs_2_3","Obs_2_4","Obs_2_5","Obs_2_6","Obs_2_7","Obs_2_8","Obs_2_9","Obs_2_10","Obs_2_11","Obs_2_12","Obs_2_13","Obs_2_14","Obs_2_15","Obs_2_16"
1992-10-01,NA,NA,1.22629166666667,NA,NA,1.505625,NA,3.33191666666667,3.87441666666667,5.22758333333333,NA,NA,11.9108333333333,34.3558333333333,66.3063833333333,134.114166666667
1992-10-02,NA,NA,1.19679166666667,NA,NA,1.52191666666667,NA,3.35608333333333,3.626375,5.483625,NA,NA,11.1633333333333,31.8079166666667,64.9148183333333,123.64125
1992-10-03,NA,NA,1.20829166666667,NA,NA,1.61383333333333,NA,3.25379166666667,4.20195833333333,5.47008333333333,NA,NA,11.1504166666667,21.56125,55.57320125,110.721666666667
1992-10-04,NA,NA,1.43870833333333,NA,NA,2.73770833333333,NA,3.4245,4.71458333333333,19.8104583333333,NA,NA,12.63125,32.9066666666667,62.0196529166667,145.325833333333
1992-10-05,NA,NA,2.41,NA,NA,4.9655,NA,5.628125,7.15725,31.1004166666667,NA,NA,18.1404166666667,63.0333333333333,102.327624583333,253.7375
1992-10-06,NA,NA,2.442375,NA,NA,5.47441666666667,NA,7.73945833333333,8.95966666666667,33.6083333333333,NA,NA,24.3095833333333,81.1883333333333,116.430283333333,327.241666666667
1992-10-07,NA,NA,2.157875,NA,NA,4.12641666666667,NA,6.20133333333333,7.80325,22.0908333333333,NA,NA,21.0870833333333,65.2104166666667,98.7477420833333,264.6375
1992-10-08,NA,NA,2.11845833333333,NA,NA,3.53045833333333,NA,5.05525,6.249125,16.0270833333333,NA,NA,18.11,57.1229166666667,85.3652216666667,225.079166666667
1992-10-09,NA,NA,2.02704166666667,NA,NA,3.22308333333333,NA,4.360875,5.71625,13.6604166666667,NA,NA,17.0029166666667,54.31625,79.1259658333333,202.979166666667
1992-10-10,NA,NA,1.95120833333333,NA,NA,3.05575,NA,4.13745833333333,5.63520833333333,12.6275,NA,NA,15.8445833333333,41.6795833333333,68.4533329166667,183.191666666667
1992-10-11,NA,NA,1.93733333333333,NA,NA,2.99341666666667,NA,3.97745833333333,5.46266666666667,11.4866666666667,NA,NA,15.455,40.1166666666667,58.4792779166667,153.316666666667
1992-10-12,NA,NA,1.90291666666667,NA,NA,3.00120833333333,NA,3.84570833333333,5.159375,12.0025,NA,NA,14.4858333333333,46.7116666666667,68.9885145833333,163.841666666667
1992-10-13,NA,NA,1.88704166666667,NA,NA,2.912625,NA,3.665625,4.854625,11.5291666666667,NA,NA,14.0929166666667,42.1754166666667,69.2751258333333,177.291666666667
1992-10-14,NA,NA,1.8055,NA,NA,2.80033333333333,NA,3.60420833333333,4.55575,10.4454166666667,NA,NA,13.5754166666667,45.0970833333333,70.9866254166667,163.416666666667
